"Individual"	"August_1m"	"August_2m"	"August_3m"	"August_4m"	"December_1m"	"December_2m"	"December_3m"	"December_4m"	"August_1t"	"August_2t"	"August_3t"	"August_4t"	"December_1t"	"December_2t"	"December_3t"	"December_4t"	"p.values"	"fc"
2	3523	2934	2065	3273	2747	2211	2354	3647	7161	6038	4651	6432	3620	3102	3243	4849	1.59822841039768e-05	1.52596391758724
3	757	1137	662	848	1332	1170	1433	1133	3591	4585	3081	3674	2622	2256	2405	2195	3.48687544027072e-05	2.35725363600112
4	530	660	467	646	83	130	102	70	5149	6410	5919	6953	5551	6505	6022	6437	3.27385972635396e-06	-6.01174915412376
5	454	550	428	646	832	1474	1160	1062	1840	2402	1793	2184	1875	3233	2595	2458	0.000336840780909248	1.76535961662955
6	795	953	623	646	1498	1517	1331	2089	3600	3158	3181	2728	2956	2730	2389	3750	0.000198998959192304	2.29356076713275
8	1136	1247	1753	1374	3122	4033	4539	4709	2862	2642	3507	2810	4248	4985	5819	5821	3.23389365407072e-05	1.68759300697887
9	2614	2861	2299	2061	6411	8456	7132	7329	5707	6114	5705	5396	9699	11474	10474	10546	0.00017436233404351	1.62405467585095
10	454	550	467	687	624	823	750	778	6888	5981	5773	6134	2763	4336	3541	3508	0.000584548988235208	2.43469949826456
11	1136	807	779	1172	3788	2818	2866	2018	3678	3321	2823	3092	5637	4598	4707	3347	0.000501350137348351	2.08453883730797
12	378	440	311	525	1082	1040	1058	1062	5119	4358	4156	3892	3560	3552	3792	2992	6.48947463433879e-05	3.25937546455734
13	1742	2201	2065	1495	1040	1821	1433	1168	4219	4991	5062	3494	8195	7885	6793	7587	0.000831531859692805	-2.376771408495
14	340	440	233	727	1373	1691	1535	1416	1326	1577	1328	2121	2372	2602	2526	2266	0.000820107571014247	2.36902997124504
15	1212	1283	1363	1293	541	1040	443	743	12628	14590	16046	17245	20045	25386	21127	24785	0.000467912112123929	-2.91546950850416
16	757	917	935	687	2581	1994	2627	1982	10379	9454	11003	8588	17801	12468	17519	14473	3.74314149451103e-05	1.77366715432435
17	151	330	311	282	707	780	955	708	5828	6473	7603	6287	5947	4972	5862	5324	3.66445711177107e-05	3.55217579686121
18	3674	4145	4715	3718	2331	3599	3174	4001	29877	38382	36271	32335	7594	8237	7347	9197	6.482909243495e-05	3.32733600312079
